3,5 1 0.017188 0.28205128205128205 0.060937 0.258750
1,5 3 0.017188 0.39568345323741005 0.043437 0.426250
1,3 5 0.017188 0.12672811059907835 0.135625 0.262188
3,6 1 0.118438 0.3242087254063302 0.365312 0.258750
1,6 3 0.118438 0.5500725689404935 0.215312 0.426250
1,3 6 0.118438 0.8732718894009217 0.135625 0.737812
3,7 1 0.094375 0.48475120385232745 0.194688 0.258750
1,7 3 0.094375 0.8140161725067385 0.115937 0.426250
1,3 7 0.094375 0.695852534562212 0.135625 0.341562
3,8 1 0.041250 0.17813765182186234 0.231563 0.258750
1,8 3 0.041250 0.2888402625820569 0.142813 0.426250
1,3 8 0.041250 0.30414746543778803 0.135625 0.658438
3,9 1 0.112500 0.38961038961038963 0.288750 0.258750
1,9 3 0.112500 0.5462822458270106 0.205937 0.426250
1,3 9 0.112500 0.8294930875576036 0.135625 0.576875
3,10 1 0.023125 0.16818181818181818 0.137500 0.258750
1,10 3 0.023125 0.4378698224852071 0.052812 0.426250
1,3 10 0.023125 0.17050691244239632 0.135625 0.423125
3,11 1 0.018750 0.16348773841961853 0.114687 0.258750
1,11 3 0.018750 0.6818181818181818 0.027500 0.426250
1,3 11 0.018750 0.1382488479262673 0.135625 0.174063
3,12 1 0.116875 0.37512537612838515 0.311563 0.258750
1,12 3 0.116875 0.5054054054054054 0.231250 0.426250
1,3 12 0.116875 0.8617511520737328 0.135625 0.825937
3,13 1 0.101562 0.4939209726443769 0.205625 0.258750
1,13 3 0.101562 0.5632582322357019 0.180312 0.426250
1,3 13 0.101562 0.7488479262672811 0.135625 0.345625
3,14 1 0.034063 0.15439093484419264 0.220625 0.258750
1,14 3 0.034063 0.4342629482071713 0.078437 0.426250
1,3 14 0.034063 0.2511520737327189 0.135625 0.654375
4,5 1 0.026250 0.13043478260869565 0.201250 0.258750
1,5 4 0.026250 0.60431654676259 0.043437 0.573750
1,4 5 0.026250 0.2131979695431472 0.123125 0.262188
4,6 1 0.096875 0.2600671140939597 0.372500 0.258750
1,6 4 0.096875 0.44992743105950656 0.215312 0.573750
1,4 6 0.096875 0.7868020304568528 0.123125 0.737812
4,7 1 0.021562 0.14680851063829786 0.146875 0.258750
1,7 4 0.021562 0.18598382749326145 0.115937 0.573750
1,4 7 0.021562 0.1751269035532995 0.123125 0.341562
4,8 1 0.101562 0.23792093704245973 0.426875 0.258750
1,8 4 0.101562 0.7111597374179431 0.142813 0.573750
1,4 8 0.101562 0.8248730964467005 0.123125 0.658438
4,9 1 0.093438 0.324295010845987 0.288125 0.258750
1,9 4 0.093438 0.4537177541729894 0.205937 0.573750
1,4 9 0.093438 0.7588832487309645 0.123125 0.576875
4,10 1 0.029687 0.10393873085339168 0.285625 0.258750
1,10 4 0.029687 0.5621301775147929 0.052812 0.573750
1,4 10 0.029687 0.24111675126903553 0.123125 0.423125
4,11 1 0.008750 0.14736842105263157 0.059375 0.258750
1,11 4 0.008750 0.3181818181818182 0.027500 0.573750
1,4 11 0.008750 0.07106598984771574 0.123125 0.174063
4,12 1 0.114375 0.22235722964763063 0.514375 0.258750
1,12 4 0.114375 0.4945945945945946 0.231250 0.573750
1,4 12 0.114375 0.9289340101522843 0.123125 0.825937
4,13 1 0.078750 0.5625 0.140000 0.258750
1,13 4 0.078750 0.43674176776429807 0.180312 0.573750
1,4 13 0.078750 0.6395939086294417 0.123125 0.345625
4,14 1 0.044375 0.10230547550432277 0.433750 0.258750
1,14 4 0.044375 0.5657370517928287 0.078437 0.573750
1,4 14 0.044375 0.3604060913705584 0.123125 0.654375
5,7 1 0.013750 0.2682926829268293 0.051250 0.258750
1,7 5 0.013750 0.11859838274932614 0.115937 0.262188
1,5 7 0.013750 0.31654676258992803 0.043437 0.341562
5,8 1 0.029687 0.14074074074074075 0.210938 0.258750
1,8 5 0.029687 0.20787746170678337 0.142813 0.262188
1,5 8 0.029687 0.6834532374100719 0.043437 0.658438
5,9 1 0.030312 0.2199546485260771 0.137813 0.258750
1,9 5 0.030312 0.1471927162367223 0.205937 0.262188
1,5 9 0.030312 0.697841726618705 0.043437 0.576875
5,10 1 0.013125 0.10552763819095477 0.124375 0.258750
1,10 5 0.013125 0.2485207100591716 0.052812 0.262188
1,5 10 0.013125 0.302158273381295 0.043437 0.423125
5,11 1 0.003438 0.10784313725490197 0.031875 0.258750
1,11 5 0.003438 0.125 0.027500 0.262188
1,5 11 0.003438 0.07913669064748201 0.043437 0.174063
5,12 1 0.040000 0.17367706919945725 0.230313 0.258750
1,12 5 0.040000 0.17297297297297298 0.231250 0.262188
1,5 12 0.040000 0.920863309352518 0.043437 0.825937
5,13 1 0.022187 0.4152046783625731 0.053437 0.258750
1,13 5 0.022187 0.12305025996533796 0.180312 0.262188
1,5 13 0.022187 0.5107913669064749 0.043437 0.345625
5,14 1 0.021250 0.10179640718562874 0.208750 0.258750
1,14 5 0.021250 0.27091633466135456 0.078437 0.262188
1,5 14 0.021250 0.4892086330935252 0.043437 0.654375
6,7 1 0.102188 0.3519913885898816 0.290312 0.258750
1,7 6 0.102188 0.8814016172506739 0.115937 0.737812
1,6 7 0.102188 0.4746008708272859 0.215312 0.341562
6,8 1 0.113125 0.2527932960893855 0.447500 0.258750
1,8 6 0.113125 0.7921225382932167 0.142813 0.737812
1,6 8 0.113125 0.525399129172714 0.215312 0.658438
6,9 1 0.175625 0.4 0.439063 0.258750
1,9 6 0.175625 0.8528072837632777 0.205937 0.737812
1,6 9 0.175625 0.8156748911465893 0.215312 0.576875
6,10 1 0.039688 0.13284518828451883 0.298750 0.258750
1,10 6 0.039688 0.7514792899408284 0.052812 0.737812
1,6 10 0.039688 0.18432510885341075 0.215312 0.423125
6,11 1 0.024063 0.16923076923076924 0.142187 0.258750
1,11 6 0.024063 0.875 0.027500 0.737812
1,6 11 0.024063 0.11175616835994194 0.215312 0.174063
6,12 1 0.191250 0.3210912906610703 0.595625 0.258750
1,12 6 0.191250 0.827027027027027 0.231250 0.737812
1,6 12 0.191250 0.888243831640058 0.215312 0.825937
6,13 1 0.158125 0.5411764705882353 0.292187 0.258750
1,13 6 0.158125 0.8769497400346621 0.180312 0.737812
1,6 13 0.158125 0.7343976777939042 0.215312 0.345625
6,14 1 0.057188 0.12833099579242638 0.445625 0.258750
1,14 6 0.057188 0.7290836653386454 0.078437 0.737812
1,6 14 0.057188 0.2656023222060958 0.215312 0.654375
7,9 1 0.098437 0.47297297297297297 0.208125 0.258750
1,9 7 0.098437 0.4779969650986343 0.205937 0.341562
1,7 9 0.098437 0.8490566037735849 0.115937 0.576875
7,10 1 0.017500 0.13114754098360656 0.133437 0.258750
1,10 7 0.017500 0.33136094674556216 0.052812 0.341562
1,7 10 0.017500 0.1509433962264151 0.115937 0.423125
7,11 1 0.011562 0.26811594202898553 0.043125 0.258750
1,11 7 0.011562 0.42045454545454547 0.027500 0.341562
1,7 11 0.011562 0.09973045822102426 0.115937 0.174063
7,12 1 0.104375 0.34973821989528797 0.298438 0.258750
1,12 7 0.104375 0.45135135135135135 0.231250 0.341562
1,7 12 0.104375 0.9002695417789758 0.115937 0.825937
7,13 1 0.092813 0.4958263772954925 0.187188 0.258750
1,13 7 0.092813 0.5147313691507799 0.180312 0.341562
1,7 13 0.092813 0.8005390835579514 0.115937 0.345625
7,14 1 0.023125 0.14979757085020243 0.154375 0.258750
1,14 7 0.023125 0.2948207171314741 0.078437 0.341562
1,7 14 0.023125 0.19946091644204852 0.115937 0.654375
8,9 1 0.107500 0.29152542372881357 0.368750 0.258750
1,9 8 0.107500 0.5220030349013657 0.205937 0.658438
